"","1651RP","ATT","BCL","BEQ","BSYNC","CBES","DOTY","IEA11","IEA46","ILTRM","NYTRM","REMDB","STD100","THUM","WSU","WULF"
"1651RP",100,28,35,71,28,45,63,69,71,64,60,20,72,54,67,59
"ATT",28,100,25,53,100,49,19,48,49,24,20,39,48,32,39,50
"BCL",35,25,100,37,25,32,28,33,35,25,24,19,37,24,25,28
"BEQ",71,53,37,100,53,47,52,76,93,51,50,36,95,61,74,80
"BSYNC",28,100,25,53,100,50,19,48,49,24,20,39,48,32,39,50
"CBES",45,49,32,47,50,100,30,50,45,35,32,29,46,31,44,38
"DOTY",63,19,28,52,19,30,100,56,55,49,56,15,55,43,44,46
"IEA11",69,48,33,76,48,50,56,100,78,51,54,33,75,67,69,68
"IEA46",71,49,35,93,49,45,55,78,100,56,53,33,95,71,79,80
"ILTRM",64,24,25,51,24,35,49,51,56,100,70,19,52,42,56,48
"NYTRM",60,20,24,50,20,32,56,54,53,70,100,22,51,40,48,45
"REMDB",20,39,19,36,39,29,15,33,33,19,22,100,34,28,21,33
"STD100",72,48,37,95,48,46,55,75,95,52,51,34,100,64,74,77
"THUM",54,32,24,61,32,31,43,67,71,42,40,28,64,100,64,52
"WSU",67,39,25,74,39,44,44,69,79,56,48,21,74,64,100,71
"WULF",59,50,28,80,50,38,46,68,80,48,45,33,77,52,71,100
